"leadI","leadII","leadIII","leadaVR","leadaVL","leadaVF","leadV1","leadV2","leadV3","leadV4","leadV5","leadV6"
-1,-1,0,1,0,-1,0,1,1,-1,0,0
-4,-5,0,4,-2,-3,0,2,4,-2,-2,-1
-4,-6,-1,5,-1,-4,0,3,6,-3,-3,-2
-1,-3,-2,2,0,-3,2,5,8,-2,-2,-1
0,-1,-1,0,0,-1,3,7,10,-2,-2,-1
-1,-1,0,1,-1,-1,2,8,11,-2,-3,-2
-2,-3,0,3,-2,-2,2,8,11,-3,-3,-2
-3,-3,0,3,-2,-2,2,8,11,-2,-3,-2
-3,-3,0,3,-2,-1,3,8,12,-1,-1,-1
-3,-3,0,4,-2,-1,4,9,13,0,0,-1
-5,-5,1,5,-3,-2,4,9,14,1,0,-1
-7,-7,1,7,-4,-3,3,9,14,1,0,-2
-9,-8,1,8,-5,-3,3,9,14,2,-1,-3
-10,-8,2,8,-6,-3,3,10,15,2,-1,-3
-8,-6,2,7,-5,-2,4,11,17,3,0,-3
-6,-3,2,4,-4,0,5,13,19,5,1,-2
-5,-2,2,3,-3,0,5,15,20,6,1,-2
-5,-2,2,4,-4,0,5,16,21,7,1,-2
-6,-4,2,5,-4,0,5,17,21,8,1,-2
-6,-4,2,5,-4,-1,5,18,23,9,2,-3
-5,-4,1,4,-3,-1,5,19,24,11,3,-3
-4,-2,1,3,-3,0,6,21,26,13,4,-2
-3,0,2,2,-2,1,6,23,28,15,5,-1
-2,1,2,1,-2,2,7,25,30,17,6,0
-1,1,3,0,-2,2,8,27,31,19,7,0
-2,1,3,1,-2,2,8,28,33,21,8,1
-2,0,3,1,-2,1,8,29,33,22,8,1
-2,0,3,2,-2,1,8,29,34,22,8,0
-3,-1,3,3,-3,0,9,30,34,23,8,0
-4,-2,3,3,-4,0,9,31,35,23,8,0
-5,-2,3,4,-4,0,10,32,36,24,8,0
-5,-2,3,4,-4,0,10,33,37,25,8,-1
-5,-1,3,3,-4,0,11,34,38,27,8,-1
-5,-1,3,3,-4,1,11,35,39,28,8,-1
-5,-1,3,3,-4,1,12,35,38,27,7,-2
-5,-2,3,4,-4,0,12,35,38,27,6,-2
-7,-4,3,5,-5,0,12,34,37,27,6,-2
-7,-4,3,5,-5,0,12,34,37,27,7,-2
-6,-2,4,3,-5,1,12,35,38,28,8,-1
-4,0,4,1,-4,2,12,36,38,29,8,0
-4,1,5,1,-4,3,12,36,39,30,9,0
-3,2,5,0,-4,3,13,37,39,30,9,1
-3,3,5,0,-4,4,14,37,39,30,9,1
-2,3,5,0,-4,4,14,37,38,30,9,0
-1,3,5,-1,-4,4,16,37,38,31,9,0
0,5,6,-2,-3,5,17,38,38,32,9,0
0,5,6,-2,-3,5,16,38,38,32,8,-1
-2,3,5,0,-4,3,15,37,36,31,7,-2
-3,1,4,1,-4,2,14,36,35,30,6,-2
-3,1,4,1,-4,2,14,36,34,30,6,-2
-4,0,5,2,-4,2,14,35,33,29,6,-1
-4,1,5,1,-4,3,15,35,33,29,7,0
-2,3,6,0,-4,4,15,34,33,29,8,1
-1,4,6,-1,-3,5,15,33,32,29,8,2
0,4,5,-2,-3,4,14,32,30,28,8,2
-1,2,4,-1,-3,3,13,30,27,26,6,1
-1,2,3,0,-3,2,12,28,25,25,5,1
-1,2,3,0,-2,2,11,27,23,24,5,1
-1,4,4,-1,-2,3,9,25,22,23,4,1
0,5,4,-2,-2,3,7,24,20,21,4,1
0,5,4,-2,-2,3,4,22,17,19,3,1
0,4,3,-1,-2,2,1,19,14,16,1,0
-1,2,3,0,-2,2,0,16,11,14,0,0
-2,1,3,1,-2,1,0,13,9,12,0,0
-3,0,3,2,-3,1,-1,11,6,11,0,0
-4,-1,2,3,-3,0,-1,10,4,9,-1,0
-4,-1,2,3,-2,0,-1,9,3,8,-1,0
-4,-1,1,3,-2,0,-1,8,2,8,-1,0
